text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
Abang seungri lagi gabut ya😂,2023-10-07 00:00:00+00:00,INdRqyxsmxM,Abang seungri lagi gabut ya,id,Abang no longer gabut yes,Abang longer gabut yes,Abang long gabut yes
Same habit of Seungri hahah the music is ON ...,2020-12-17 00:00:00+00:00,Qo55vEgzvgI,Same habit of Seungri hahah the music is ON ...,en,Same habit of Seungri hahah the music is ON ...,Same habit Seungri hahah music ON ...,same habit seungri hahah music on ...
Ditunggu ulasan slanjutnya ko.... Mulai membara lagi nih kasusnya,2024-05-20 00:00:00+00:00,Q0MoQzLzqvk,Ditunggu ulasan slanjutnya ko.... Mulai membara lagi nih kasusnya,id,Fortunately the continuation review of his c.... Begin to get worse,Fortunately continuation review c .... Begin get worse,fortunately continuation review c .... begin get bad
How tf do they justify such a low jail time? That's insane!,2024-05-22 00:00:00+00:00,2yGawLI4AQo,How tf do they justify such a low jail time? That's insane!,en,How tf do they justify such a low jail time? That's insane!,How tf justify low jail time ? That 's insane !,how tf justify low jail time ? that be insane !
Big Bang are going to Coachella folks.This group just won't die.Un.Be.Lieve.A.Ble.,2020-01-05 00:00:00+00:00,czY-QzsueLU,Big Bang are going to Coachella folks.This group just won't die.Un.Be.Lieve.A.Ble.,en,Big Bang are going to Coachella folks.This group just won't die.Un.Be.Lieve.A.Ble.,Big Bang going Coachella folks.This group wo n't die.Un.Be.Lieve.A.Ble .,Big Bang go Coachella folk . this group will not die . Un . be . Lieve . A.Ble .
I miss my panda,2020-07-17 00:00:00+00:00,Jyhy6lnVwyA,I miss my panda,en,I miss my panda,I miss panda,I miss panda
That thumbnail looks so evil.,2019-03-20 00:00:00+00:00,hii0tpk8Dss,That thumbnail looks so evil.,en,That thumbnail looks so evil.,That thumbnail looks evil .,that thumbnail look evil .
"Crecí escuchando a big bang soy gran fan de todos esto en serio que me duele, que decepción",2019-03-14 00:00:00+00:00,g6M0YEVLgxc,"Crecí escuchando a big bang soy gran fan de todos esto en serio que me duele, que decepción",es,"I grew up listening to big bang I'm a big fan of all this really hurts me, that disappointment","I grew listening big bang I 'm big fan really hurts , disappointment","I grew listen big bang I ' m big fan really hurt , disappointment"
Saranghae Saranghae Saranghae ❤,2021-03-01 00:00:00+00:00,MtW75y4kEfY,Saranghae Saranghae Saranghae ,id,Saranghae Saranghae,Saranghae Saranghae,Saranghae Saranghae
Vl nhóm l này nổi toàn cầu 😂😂,2024-05-23 00:00:00+00:00,86kifuIfVSg,Vl nhóm l này nổi toàn cầu ,en,Vl nhóm l này nổi toàn cầu ,Vl nhóm l này nổi toàn cầu,Vl nhóm l này nổi toàn cầu
"Nói thiệt nhạc kpop cho mấy bé mới lớn , nghè ầm ầm ào ào, tính nghệ thuật cùng với ý nghĩa hay nhân văn ko có …",2024-05-27 00:00:00+00:00,5neXZDble8o,"Nói thiệt nhạc kpop cho mấy bé mới lớn , nghè ầm ầm ào ào, tính nghệ thuật cùng với ý nghĩa hay nhân văn ko có …",en,"Nói thiệt nhạc kpop cho mấy bé mới lớn , nghè ầm ầm ào ào, tính nghệ thuật cùng với ý nghĩa hay nhân văn ko có …","Nói thiệt nhạc kpop cho mấy bé mới lớn , nghè ầm ầm ào ào , tính nghệ thuật cùng với ý nghĩa hay nhân văn ko có …","nói thiệt nhạc kpop cho mấy bé mới lớn , nghè ầm ầm ào ào , tính nghệ thuật cùng với ý nghĩa hay nhân văn ko có …"
Puede que la empresa tenga bajas pero Blackpink está allí así que no creo que sufran tanto (me refiero a la empresa),2021-08-28 00:00:00+00:00,vZTy6Z_O8Gs,Puede que la empresa tenga bajas pero Blackpink está allí así que no creo que sufran tanto (me refiero a la empresa),es,Maybe the company has casualties but Blackpink is there so I don't think they suffer so much (I mean the company),Maybe company casualties Blackpink I n't think suffer much ( I mean company ),maybe company casualty Blackpink I not think suffer much ( I mean company )
"I really feel Seungri sort of blossomed in 2018. His hyungs were in the military and he stepped up to fill the gap. He released a solo album, began a solo tour, did tons of variety shows, and even released a Netflix show (YG Future Strategy Office). Great reaction! I love BIGBANG, but I'm sometimes surprised how often it's Seungri's solo songs I'm listening to. They're just that good.",2022-05-28 00:00:00+00:00,hyLMN2tCyEk,"I really feel Seungri sort of blossomed in 2018. His hyungs were in the military and he stepped up to fill the gap. He released a solo album, began a solo tour, did tons of variety shows, and even released a Netflix show (YG Future Strategy Office). Great reaction! I love BIGBANG, but I'm sometimes surprised how often it's Seungri's solo songs I'm listening to. They're just that good.",en,"I really feel Seungri sort of blossomed in 2018. His hyungs were in the military and he stepped up to fill the gap. He released a solo album, began a solo tour, did tons of variety shows, and even released a Netflix show (YG Future Strategy Office). Great reaction! I love BIGBANG, but I'm sometimes surprised how often it's Seungri's solo songs I'm listening to. They're just that good.","I really feel Seungri sort blossomed 2018 . His hyungs military stepped fill gap . He released solo album , began solo tour , tons variety shows , even released Netflix show ( YG Future Strategy Office ) . Great reaction ! I love BIGBANG , I 'm sometimes surprised often 's Seungri 's solo songs I 'm listening . They 're good .","I really feel Seungri sort blossom 2018 . his hyung military step fill gap . he release solo album , begin solo tour , ton variety show , even release Netflix show ( YG Future Strategy Office ) . great reaction ! I love bigbang , I ' m sometimes surprised often 's Seungri 's solo song I ' m listen . they be good ."
MAS BAHAS LAGI BURNING SUN😭,2024-05-20 00:00:00+00:00,Q0MoQzLzqvk,MAS BAHAS LAGI BURNING SUN,de,MAS BAHAS LAGI,MAS BAHAS LAGI,MAS bahas LAGI
VI 💝 SEUNGRI 💝 VI,2023-09-12 00:00:00+00:00,m2MtOeuCgh8,VI  SEUNGRI  VI,th,VISUNGRI VI,VISUNGRI VI,VISUNGRI VI
Dan ada yang mau tinggal di bali ninggalin korea krn udh bener2 di hujat... Dan tau sendirinlah indonesia ok ok aja 😂😂😂😂😂😂,2024-05-25 00:00:00+00:00,muifNDWZ4oI,Dan ada yang mau tinggal di bali ninggalin korea krn udh bener2 di hujat... Dan tau sendirinlah indonesia ok ok aja ,id,And there's what to live in toddler ninggalin korea krn udh bener2 at the hujat... And tau myselfnlah indonesian ok ok aja,And 's live toddler ninggalin korea krn udh bener2 hujat ... And tau myselfnlah indonesian ok ok aja,and be live toddler ninggalin korea krn udh bener2 hujat ... and tau myselfnlah indonesian ok ok aja
Korean Media destroyed Seungri's career,2020-08-04 00:00:00+00:00,yh7RyNauEl0,Korean Media destroyed Seungri's career,en,Korean Media destroyed Seungri's career,Korean Media destroyed Seungri 's career,korean Media destroy Seungri 's career
"Missing you, Seungri❤️",2019-05-06 00:00:00+00:00,MtW75y4kEfY,"Missing you, Seungri",de,"Missing you, Seungri","Missing , Seungri","miss , Seungri"
"Whatever happened to the victims no law cares, they released that disgusting animal in just a dew years. The law shows sympathy to the criminals but what abt the lifelong pain the innocent girls have? They dont give a shit abt.",2024-05-27 00:00:00+00:00,9EEp1q_iMYc,"Whatever happened to the victims no law cares, they released that disgusting animal in just a dew years. The law shows sympathy to the criminals but what abt the lifelong pain the innocent girls have? They dont give a shit abt.",en,"Whatever happened to the victims no law cares, they released that disgusting animal in just a dew years. The law shows sympathy to the criminals but what abt the lifelong pain the innocent girls have? They dont give a shit abt.","Whatever happened victims law cares , released disgusting animal dew years . The law shows sympathy criminals abt lifelong pain innocent girls ? They dont give shit abt .","whatever happen victim law care , release disgusting animal dew year . the law show sympathy criminal abt lifelong pain innocent girl ? they do not give shit abt ."
Jisoos reaction,2023-09-04 00:00:00+00:00,z6S3pVyhgII,Jisoos reaction,en,Jisoos reaction,Jisoos reaction,jisoos reaction
"Inget banget dulu pas kasus ini booming banget pernah war di komen ama fans nya wkwkwkwk abis kesel udah jelas tu orang kasus nya parah banget tp masih ada yg bela. Butaa emang. Ngefans sih boleh tp jangan bodoh. Menormalisasi kejahatan dari yg kalian sukai. Dia jg manusia, kita gatau kan kelakuan aslinya gmna. Namanya artis sebeelum2nya pasti pencitraan kan. Pas kebuka aib nyaa ya berarti itu emang asli nya bgtu. Jan kalian bela mati2an. Kesel gua wkwkwk jan terlalu fanatik makanya kalo fans sama manusia.",2024-05-23 00:00:00+00:00,PIehHiZZhyw,"Inget banget dulu pas kasus ini booming banget pernah war di komen ama fans nya wkwkwkwk abis kesel udah jelas tu orang kasus nya parah banget tp masih ada yg bela. Butaa emang. Ngefans sih boleh tp jangan bodoh. Menormalisasi kejahatan dari yg kalian sukai. Dia jg manusia, kita gatau kan kelakuan aslinya gmna. Namanya artis sebeelum2nya pasti pencitraan kan. Pas kebuka aib nyaa ya berarti itu emang asli nya bgtu. Jan kalian bela mati2an. Kesel gua wkwkwk jan terlalu fanatik makanya kalo fans sama manusia.",id,"Inget banget used this case booming banget has been war in the comen ama fans his wkwkwk abis udah obviously tu the case of his severe banget tp still there is a bela. Buta spirit. Ngefans can tp not bodoh. Normalize evil from you to love. He is a human being, we are g or kan the original lactation of gmna. The name of his sebeelum2 artist is definitely an imaging. To open aib nyaa yes means it's the original spirit bgtu. Jan you have died2an. Kesel cave wkwk jan too fanatic then it is the same as human fans.","Inget banget used case booming banget war comen ama fans wkwkwk abis udah obviously tu case severe banget tp still bela . Buta spirit . Ngefans tp bodoh . Normalize evil love . He human , g kan original lactation gmna . The name sebeelum2 artist definitely imaging . To open aib nyaa yes means 's original spirit bgtu . Jan died2an . Kesel cave wkwk jan fanatic human fans .","inget banget use case boom banget war coman ama fan wkwkwk abis udah obviously tu case severe banget tp still bela . buta spirit . ngefan tp bodoh . normalize evil love . he human , g kan original lactation gmna . the name sebeelum2 artist definitely image . to open aib nyaa yes mean 's original spirit bgtu . Jan died2an . Kesel cave wkwk jan fanatic human fan ."
Ganteng banget❤,2023-10-20 00:00:00+00:00,ZJAkWzwSD4k,Ganteng banget,id,Turkish,Turkish,turkish
ชื่อนี้ไม่ทำให้ผิดหวังจริงๆ😏,2024-05-21 00:00:00+00:00,Yw76Gn10POU,ชื่อนี้ไม่ทำให้ผิดหวังจริงๆ,th,That name really doesn't disappoint me,That name really n't disappoint,that name really not disappoint
Persis banget sama episode nya Taxi Driver 2 ini mah bangs,2024-05-26 00:00:00+00:00,muifNDWZ4oI,Persis banget sama episode nya Taxi Driver 2 ini mah bangs,id,Persis banget same episode nya Taxi Driver 2 this mah bangs,Persis banget episode nya Taxi Driver 2 mah bangs,persis banget episode nya Taxi Driver 2 mah bang
"""But once he comes down the stage he never stays with us.""
Seungri, what have you done?",2019-09-18 00:00:00+00:00,R0aXXFE-7ZE,"""But once he comes down the stage he never stays with us.""
Seungri, what have you done?",en,"""But once he comes down the stage he never stays with us.""
Seungri, what have you done?","`` But comes stage never stays us . '' Seungri , done ?","` ` but come stage never stay we . '' seungri , do ?"
"널리널리
퍼지길",2024-05-20 00:00:00+00:00,YCV_b1Nx5BA,"널리널리
퍼지길",ko,"Company
About Us",Company About Us,company about we
Saranghae Saranghae ❤❤❤,2021-11-04 00:00:00+00:00,j0N2GJUkE6Y,Saranghae Saranghae ,id,Saranghae,Saranghae,Saranghae
เป็นไงบ้างติ่ง k-pop มันไม่ได้ดูดีเหมือนในทีวีเลย,2024-05-24 00:00:00+00:00,Vm6mc1sKrsw,เป็นไงบ้างติ่ง k-pop มันไม่ได้ดูดีเหมือนในทีวีเลย,th,how's the k-pop app? it doesn't look like it's on tv,'s k-pop app ? n't look like 's tv,'s k - pop app ? not look like 's tv
"Ok nak nangis ML buat content pasal Big Bang huwaaa mampu lyn ig diorg je weh, pastu utube channel si daesung 🤣",2021-03-31 00:00:00+00:00,XWAn1UD9nOU,"Ok nak nangis ML buat content pasal Big Bang huwaaa mampu lyn ig diorg je weh, pastu utube channel si daesung ",id,"Ok nak nangis ML make content article Big Bang huwaaa capable lyn ig diorg je weh, pastu utube channel si daesung","Ok nak nangis ML make content article Big Bang huwaaa capable lyn ig diorg je weh , pastu utube channel si daesung","ok nak nangis ML make content article Big Bang huwaaa capable lyn ig diorg je weh , pastu utube channel si daesung"
Kesini abis nonton Taxi Driver 2 eps 11-12 😮,2023-04-03 00:00:00+00:00,Q0MoQzLzqvk,Kesini abis nonton Taxi Driver 2 eps 11-12 ,en,Kesini abis nonton Taxi Driver 2 eps 11-12 ,Kesini abis nonton Taxi Driver 2 eps 11-12,kesini abis nonton Taxi Driver 2 ep 11 - 12
my poor baby💔,2019-03-28 00:00:00+00:00,Rr9AjcF0jZw,my poor baby,en,my poor baby,poor baby,poor baby
You always give best news ❤,2024-05-27 00:00:00+00:00,Lv7uYBRn0OQ,You always give best news ,en,You always give best news ,You always give best news,you always give good news
You forgot about the burning sun scandal in 2019,2023-09-24 00:00:00+00:00,v8IMQfzpWEE,You forgot about the burning sun scandal in 2019,en,You forgot about the burning sun scandal in 2019,You forgot burning sun scandal 2019,you forgot burn sun scandal 2019
"SeungRi's trial was yesterday (30/06/21 KR), he denied the charges, he presented even more proofs, more evidence to support his innocence,, in this trial seungri explained HIS side of the history. Good luck SeungRi💚💙",2021-06-30 00:00:00+00:00,d4iDP70Mn7Q,"SeungRi's trial was yesterday (30/06/21 KR), he denied the charges, he presented even more proofs, more evidence to support his innocence,, in this trial seungri explained HIS side of the history. Good luck SeungRi",en,"SeungRi's trial was yesterday (30/06/21 KR), he denied the charges, he presented even more proofs, more evidence to support his innocence,, in this trial seungri explained HIS side of the history. Good luck SeungRi","SeungRi 's trial yesterday ( 30/06/21 KR ) , denied charges , presented even proofs , evidence support innocence , , trial seungri explained HIS side history . Good luck SeungRi","SeungRi 's trial yesterday ( 30/06/21 KR ) , deny charge , present even proof , evidence support innocence , , trial seungri explain his side history . good luck SeungRi"
Saranghae ❤,2021-10-24 00:00:00+00:00,j0N2GJUkE6Y,Saranghae ,id,Home,Home,home
Giống lối sống của t ghê idol t mãi đỉnh,2024-05-25 00:00:00+00:00,RAW1amh06wk,Giống lối sống của t ghê idol t mãi đỉnh,en,Giống lối sống của t ghê idol t mãi đỉnh,Giống lối sống của ghê idol mãi đỉnh,giống lối sống của ghê idol mãi đỉnh
រឿងនឹងខ្ញុំមើលគេនិយាយដែរ តែមិនច្បាស់ដូចបងទេ😊👏💗,2024-01-24 00:00:00+00:00,E_R0MyGqv7Q,រឿងនឹងខ្ញុំមើលគេនិយាយដែរ តែមិនច្បាស់ដូចបងទេ,en,រឿងនឹងខ្ញុំមើលគេនិយាយដែរ តែមិនច្បាស់ដូចបងទេ,រឿងនឹងខ្ញុំមើលគេនិយាយដែរ តែមិនច្បាស់ដូចបងទេ,រឿងនឹងខ្ញុំមើលគេនិយាយដែរ តែមិនច្បាស់ដូចបងទេ
"Why are Malaysian eating ramyeon??

Mmm because yknow Malaysian love to eat instant noodles",2019-07-11 00:00:00+00:00,AZk7RBpeaHM,"Why are Malaysian eating ramyeon??

Mmm because yknow Malaysian love to eat instant noodles",en,"Why are Malaysian eating ramyeon??

Mmm because yknow Malaysian love to eat instant noodles",Why Malaysian eating ramyeon ? ? Mmm yknow Malaysian love eat instant noodles,why malaysian eat ramyeon ? ? mmm yknow malaysian love eat instant noodle
holy kpop stans,2020-12-14 00:00:00+00:00,T6dWyZXeWIg,holy kpop stans,en,holy kpop stans,holy kpop stans,holy kpop stan
e dps perguntam pq a taxa de natalidade da Coréia do Sul tá caindo,2024-05-25 00:00:00+00:00,9EEp1q_iMYc,e dps perguntam pq a taxa de natalidade da Coréia do Sul tá caindo,pt,e dps ask pq the birth rate of South Korea is falling,e dps ask pq birth rate South Korea falling,e dps ask pq birth rate South Korea fall
"Depan layar cute , di belakang layar cukup tahu. Sisi gelap artis Korea.,",2024-05-23 00:00:00+00:00,PIehHiZZhyw,"Depan layar cute , di belakang layar cukup tahu. Sisi gelap artis Korea.,",id,"Front of cute screen, behind the screen is enough to know. The dark side of the Korean artist.,","Front cute screen , behind screen enough know . The dark side Korean artist. ,","front cute screen , behind screen enough know . the dark side korean artist . ,"
"아니 이 노래를 왜 승리한테 주냐
그냥 로제한테 주지...;",2020-05-15 00:00:00+00:00,j0N2GJUkE6Y,"아니 이 노래를 왜 승리한테 주냐
그냥 로제한테 주지...;",ko,"Why don't this song give me a win
Just give it to Rosé...;",Why n't song give win Just give Rosé ... ;,why not song give win just give Rosé ... ;
💀the sun scandal was some caothic sh1t everyone knew about it tbh it really shocked me what they did glad he was put in jail because what he did is not something to forgive,2022-10-25 00:00:00+00:00,v8IMQfzpWEE,the sun scandal was some caothic sh1t everyone knew about it tbh it really shocked me what they did glad he was put in jail because what he did is not something to forgive,en,the sun scandal was some caothic sh1t everyone knew about it tbh it really shocked me what they did glad he was put in jail because what he did is not something to forgive,sun scandal caothic sh1t everyone knew tbh really shocked glad put jail something forgive,sun scandal caothic sh1 t everyone know tbh really shock glad put jail something forgive
"Bigbang tk pyh attention pun, semua org excited gila babj",2021-03-31 00:00:00+00:00,XWAn1UD9nOU,"Bigbang tk pyh attention pun, semua org excited gila babj",id,"Bigbang tk pyh attentionever, all org excited crazy babj","Bigbang tk pyh attentionever , org excited crazy babj","Bigbang tk pyh attentionever , org excite crazy babj"
He should be in prison for his horrible crimes. Unless they put him in military prison. He must pay for his offences.,2020-03-09 00:00:00+00:00,yh7RyNauEl0,He should be in prison for his horrible crimes. Unless they put him in military prison. He must pay for his offences.,en,He should be in prison for his horrible crimes. Unless they put him in military prison. He must pay for his offences.,He prison horrible crimes . Unless put military prison . He must pay offences .,he prison horrible crime . unless put military prison . he must pay offence .
Still pissed at myself for not realizing that this was Anda the whole time!,2019-03-06 00:00:00+00:00,j0N2GJUkE6Y,Still pissed at myself for not realizing that this was Anda the whole time!,en,Still pissed at myself for not realizing that this was Anda the whole time!,Still pissed realizing Anda whole time !,still piss realize Anda whole time !
"""BIG BANG IS 5"" -Kwon Jiyong, April 2020",2020-04-26 00:00:00+00:00,Jyhy6lnVwyA,"""BIG BANG IS 5"" -Kwon Jiyong, April 2020",tl,""" BIGGHT IS 5 ""Kwon Jraka, April 2020","`` BIGGHT IS 5 `` Kwon Jraka , April 2020","` ` BIGGHT be 5 ` ` Kwon Jraka , April 2020"
gue rasa seungri gak akan bisa balik ke dunia entertainment juga sih. kemungkinan seungri nya sendiri juga gak akan mau walaupun diminta.,2020-08-09 00:00:00+00:00,0WnY9m2f4sg,gue rasa seungri gak akan bisa balik ke dunia entertainment juga sih. kemungkinan seungri nya sendiri juga gak akan mau walaupun diminta.,id,gak’s sense will be able to turn back to the entertainment world. the possibility of his own soul will also be willing even if requested.,gak ’ sense able turn back entertainment world . possibility soul also willing even requested .,gak ' sense able turn back entertainment world . possibility soul also willing even request .
哇靠有台灣的投資人？名單有留出來嗎,2021-09-08 00:00:00+00:00,OfeO7_Wn0Ag,哇靠有台灣的投資人？名單有留出來嗎,zh,"Wow, with Taiwan investors? Did you leave the list","Wow , Taiwan investors ? Did leave list","wow , Taiwan investor ? do leave list"
"explaining this, seungri revealed he gets sad when he's not recognized. he's the least stanned member and the most underrated one, he knows and acknowledges that. he's hurt by it though. everyone can recognize gdragon or taeyang but not him, that's what he knows.",2021-02-25 00:00:00+00:00,hii0tpk8Dss,"explaining this, seungri revealed he gets sad when he's not recognized. he's the least stanned member and the most underrated one, he knows and acknowledges that. he's hurt by it though. everyone can recognize gdragon or taeyang but not him, that's what he knows.",en,"explaining this, seungri revealed he gets sad when he's not recognized. he's the least stanned member and the most underrated one, he knows and acknowledges that. he's hurt by it though. everyone can recognize gdragon or taeyang but not him, that's what he knows.","explaining , seungri revealed gets sad 's recognized . 's least stanned member underrated one , knows acknowledges . 's hurt though . everyone recognize gdragon taeyang , 's knows .","explain , seungri reveal get sad 's recognize . 's least stanned member underrate one , know acknowledge . 's hurt though . everyone recognize gdragon taeyang , 's know ."
"I really enjoy your video reaction! I'm glad you liked all his songs, and yes, each member has their own essence and style, is what we always say, they are 5 super artists who shine by themselves and together are BIGBANG, is what makes BIGBANG so special because all of they have a successful career in Kpop industry, definitely Kings of Kpop,  i hope you can to continue react the others songs of Seungri, he's an amazing artist and i always support him so much. 
BIGBANG is 5, BIGBANG is my Everything.",2022-06-10 00:00:00+00:00,iGQmP5h-xa8,"I really enjoy your video reaction! I'm glad you liked all his songs, and yes, each member has their own essence and style, is what we always say, they are 5 super artists who shine by themselves and together are BIGBANG, is what makes BIGBANG so special because all of they have a successful career in Kpop industry, definitely Kings of Kpop,  i hope you can to continue react the others songs of Seungri, he's an amazing artist and i always support him so much. 
BIGBANG is 5, BIGBANG is my Everything.",en,"I really enjoy your video reaction! I'm glad you liked all his songs, and yes, each member has their own essence and style, is what we always say, they are 5 super artists who shine by themselves and together are BIGBANG, is what makes BIGBANG so special because all of they have a successful career in Kpop industry, definitely Kings of Kpop,  i hope you can to continue react the others songs of Seungri, he's an amazing artist and i always support him so much. 
BIGBANG is 5, BIGBANG is my Everything.","I really enjoy video reaction ! I 'm glad liked songs , yes , member essence style , always say , 5 super artists shine together BIGBANG , makes BIGBANG special successful career Kpop industry , definitely Kings Kpop , hope continue react others songs Seungri , 's amazing artist always support much . BIGBANG 5 , BIGBANG Everything .","I really enjoy video reaction ! I ' m glad like song , yes , member essence style , always say , 5 super artist shine together bigbang , make bigbang special successful career Kpop industry , definitely king Kpop , hope continue react other song Seungri , 's amazing artist always support much . bigbang 5 , bigbang everything ."
"Lah kirain polisi wakanda doang yg bs kaya sinetron 
Ternyata polisi sono jg yaaaa 😅",2024-05-27 00:00:00+00:00,muifNDWZ4oI,"Lah kirain polisi wakanda doang yg bs kaya sinetron 
Ternyata polisi sono jg yaaaa ",id,"Lah guessin police house doang rich sinetron
Turnover police sono jg yaaaa",Lah guessin police house doang rich sinetron Turnover police sono jg yaaaa,lah guessin police house doang rich sinetron turnover police sono jg yaaaa
seungri materialistic 🤦🏻‍♀️,2021-08-22 00:00:00+00:00,I9pSX6CRBFU,seungri materialistic ,ro,materialistic gray,materialistic gray,materialistic gray
"nonton lagi karena dokumenter bbc, bener-bener biadab banget anjir. mana pelakunya semuanya udah bebas sekarang, terutama si Seungri yang ternyata dalangnya. baca komen ada yang masih belain Seungri jijik banget, tuh orang harusnya yang dipenjara paling lama malah cuma 1,5 tahun.",2024-05-22 00:00:00+00:00,Q0MoQzLzqvk,"nonton lagi karena dokumenter bbc, bener-bener biadab banget anjir. mana pelakunya semuanya udah bebas sekarang, terutama si Seungri yang ternyata dalangnya. baca komen ada yang masih belain Seungri jijik banget, tuh orang harusnya yang dipenjara paling lama malah cuma 1,5 tahun.",id,"noon again because BBC documentary, bener-bener biadab banget anjir. where the actors are all udahs are free now, especially the Seungri who turns out to the hawker. Read the competence there is still another Seungri jijik banget, the people should be taught for the longest 1.5 years.","noon BBC documentary , bener-bener biadab banget anjir . actors udahs free , especially Seungri turns hawker . Read competence still another Seungri jijik banget , people taught longest 1.5 years .","noon BBC documentary , bener - bener biadab banget anjir . actor udah free , especially Seungri turn hawker . Read competence still another Seungri jijik banget , people teach long 1.5 year ."
I always sensed he's greedy for money.,2021-10-12 00:00:00+00:00,R0aXXFE-7ZE,I always sensed he's greedy for money.,en,I always sensed he's greedy for money.,I always sensed 's greedy money .,I always sense 's greedy money .
여기 유튜버남도 수준 똑같음ㅋㅋ 저놈들 모자이크해주고 비난하지말아주세요~ ㅇㅈㄹ하고 욕하는댓글삭제하는꼬라지 ㅋㅋ,2020-11-09 00:00:00+00:00,YCV_b1Nx5BA,여기 유튜버남도 수준 똑같음ㅋㅋ 저놈들 모자이크해주고 비난하지말아주세요~ ㅇㅈㄹ하고 욕하는댓글삭제하는꼬라지 ㅋㅋ,ko,튜 음 Don’t let me know if you don’t know what you’re doing ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â Sex in the sauna,튜 음 Don ’ let know ’ know ’ ÃƒÆ ’ Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â Sex sauna,튜 음 Don ' let know ' know ' ãƒæ ' Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â Sex sauna
"Man, being a BTS stan has taught me just how much hyungs do for the ones younger to them, how much they love and guide them. I don’t even need to be a BigBang fan to know that Seungri’s hyungs we’re looking after him more than he deserved. And at this point they’re just to hurt, angry and disappointed. Sucks. If I had hyungs who cared about me this much trust me I would lay the world at their feet.",2019-06-12 00:00:00+00:00,R0aXXFE-7ZE,"Man, being a BTS stan has taught me just how much hyungs do for the ones younger to them, how much they love and guide them. I don’t even need to be a BigBang fan to know that Seungri’s hyungs we’re looking after him more than he deserved. And at this point they’re just to hurt, angry and disappointed. Sucks. If I had hyungs who cared about me this much trust me I would lay the world at their feet.",en,"Man, being a BTS stan has taught me just how much hyungs do for the ones younger to them, how much they love and guide them. I don’t even need to be a BigBang fan to know that Seungri’s hyungs we’re looking after him more than he deserved. And at this point they’re just to hurt, angry and disappointed. Sucks. If I had hyungs who cared about me this much trust me I would lay the world at their feet.","Man , BTS stan taught much hyungs ones younger , much love guide . I ’ even need BigBang fan know Seungri ’ hyungs ’ looking deserved . And point ’ hurt , angry disappointed . Sucks . If I hyungs cared much trust I would lay world feet .","man , BTS stan teach much hyung one young , much love guide . I ' even need BigBang fan know Seungri ' hyung ' look deserve . and point ' hurt , angry disappointed . suck . if I hyung care much trust I would lay world foot ."
Possibility 100,2022-04-06 00:00:00+00:00,XWAn1UD9nOU,Possibility 100,en,Possibility 100,Possibility 100,possibility 100
YANGYANG?! AYANGIE GW KOK DI SINI,2021-01-17 00:00:00+00:00,Q0MoQzLzqvk,YANGYANG?! AYANGIE GW KOK DI SINI,de,YANGYANG?! AYANGIE GW KOK DI SINI,YANGYANG ? ! AYANGIE GW KOK DI SINI,yangyang ? ! AYANGIE GW KOK DI SINI
nyc,2023-02-01 00:00:00+00:00,m2MtOeuCgh8,nyc,en,nyc,nyc,nyc
Saranghae ❤❣💛💜💜💕💜💜💚💚💜,2021-02-03 00:00:00+00:00,MtW75y4kEfY,Saranghae ,id,Home,Home,home
Its disgusting to know that he is roaming freely and he still have fans seriously wake up people,2024-05-23 00:00:00+00:00,-mfYbzOC9Ic,Its disgusting to know that he is roaming freely and he still have fans seriously wake up people,en,Its disgusting to know that he is roaming freely and he still have fans seriously wake up people,Its disgusting know roaming freely still fans seriously wake people,its disgusting know roam freely still fan seriously wake people
And now moon bin🥀😢,2023-04-20 00:00:00+00:00,2hII7n5k7p0,And now moon bin,en,And now moon bin,And moon bin,and moon bin
"Y ampe membernya kena skandal juga dibelain,yg gini kalian bela berarti fansnya sama y",2024-05-22 00:00:00+00:00,ccBMpp8VV4Q,"Y ampe membernya kena skandal juga dibelain,yg gini kalian bela berarti fansnya sama y",id,"Y ampe member her sister scandal is also dibelain,yg gini you will mean the fans equally","Y ampe member sister scandal also dibelain , yg gini mean fans equally","Y ampe member sister scandal also dibelain , yg gini mean fan equally"
Cái quần què gì đang diễn ra vậy,2022-01-27 00:00:00+00:00,SPZQ5b1JvfQ,Cái quần què gì đang diễn ra vậy,en,Cái quần què gì đang diễn ra vậy,Cái quần què gì đang diễn ra vậy,cái quần què gì đang diễn ra vậy
3 ông thần lại tấu hài,2021-03-04 00:00:00+00:00,HAW4yrdZhIE,3 ông thần lại tấu hài,en,3 ông thần lại tấu hài,3 ông thần lại tấu hài,3 ông thần lại tấu hài
Saranghae Seungri,2020-10-29 00:00:00+00:00,MtW75y4kEfY,Saranghae Seungri,th,Saranghae Sungri,Saranghae Sungri,Saranghae Sungri
